Usage Scenario,Menu Type,Menu Depth,Target Item
Single,Marking,3,Slippers
Single,Marking,3,Congo
Single,Marking,3,Beret
Single,Marking,3,Celery
Single,Marking,3,Brazil
Single,Marking,1,Continents
Single,Marking,1,Food
Single,Marking,1,Clothing
Single,Marking,1,Clothing
Single,Marking,1,Animals
Single,Marking,2,Meat
Single,Marking,2,Fish
Single,Marking,2,Reptiles
Single,Marking,2,Fruit
Single,Marking,2,Europe
Single,Radial,3,Milk
Single,Radial,3,Lizard
Single,Radial,3,Shark
Single,Radial,3,Aligator
Single,Radial,3,Butter
Single,Radial,1,Animals
Single,Radial,1,Food
Single,Radial,1,Continents
Single,Radial,1,Continents
Single,Radial,1,Food
Single,Radial,2,Meat
Single,Radial,2,Meat
Single,Radial,2,Tops
Single,Radial,2,Asia
Single,Radial,2,Asia
Multi,Marking,3,Goldfish
Multi,Marking,3,Sombrero
Multi,Marking,3,Kenya
Multi,Marking,3,Dogs
Multi,Marking,3,Japan
Multi,Marking,1,Clothing
Multi,Marking,1,Clothing
Multi,Marking,1,Animals
Multi,Marking,1,Animals
Multi,Marking,1,Continents
Multi,Marking,2,Meat
Multi,Marking,2,America
Multi,Marking,2,America
Multi,Marking,2,Europe
Multi,Marking,2,Fruit
Multi,Radial,3,Hummingbird
Multi,Radial,3,Jeans
Multi,Radial,3,Owl
Multi,Radial,3,Catfish
Multi,Radial,3,Parrot
Multi,Radial,1,Food
Multi,Radial,1,Clothing
Multi,Radial,1,Continents
Multi,Radial,1,Animals
Multi,Radial,1,Clothing
Multi,Radial,2,Reptiles
Multi,Radial,2,Bottoms
Multi,Radial,2,America
Multi,Radial,2,Birds
Multi,Radial,2,Shoes
