Menu Type,Usage Scenario,Menu Depth,Target Item
Radial,Single,3,Snake
Radial,Single,3,Zimbabwe
Radial,Single,3,Zimbabwe
Radial,Single,3,France
Radial,Single,3,Cats
Radial,Single,1,Food
Radial,Single,1,Clothing
Radial,Single,1,Animals
Radial,Single,1,Clothing
Radial,Single,1,Continents
Radial,Single,2,Fish
Radial,Single,2,Meat
Radial,Single,2,Asia
Radial,Single,2,Meat
Radial,Single,2,Bottoms
Radial,Multi,3,USA
Radial,Multi,3,Apple
Radial,Multi,3,Apple
Radial,Multi,3,Kenya
Radial,Multi,3,T-Shirt
Radial,Multi,1,Continents
Radial,Multi,1,Clothing
Radial,Multi,1,Animals
Radial,Multi,1,Animals
Radial,Multi,1,Food
Radial,Multi,2,Tops
Radial,Multi,2,Africa
Radial,Multi,2,Tops
Radial,Multi,2,Asia
Radial,Multi,2,Asia
Marking,Single,3,Beef
Marking,Single,3,Tights
Marking,Single,3,Coat
Marking,Single,3,Slippers
Marking,Single,3,Coat
Marking,Single,1,Continents
Marking,Single,1,Clothing
Marking,Single,1,Animals
Marking,Single,1,Continents
Marking,Single,1,Food
Marking,Single,2,Africa
Marking,Single,2,Fish
Marking,Single,2,Birds
Marking,Single,2,Africa
Marking,Single,2,Fish
Marking,Multi,3,Japan
Marking,Multi,3,Onion
Marking,Multi,3,England
Marking,Multi,3,Pork
Marking,Multi,3,Potatoes
Marking,Multi,1,Continents
Marking,Multi,1,Clothing
Marking,Multi,1,Continents
Marking,Multi,1,Continents
Marking,Multi,1,Continents
Marking,Multi,2,Bottoms
Marking,Multi,2,Bottoms
Marking,Multi,2,Hats
Marking,Multi,2,Mammals
Marking,Multi,2,Reptiles
